bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
1.224,1.2349999999999999,1.254,1.2330000000000001,1.21,1.2250000000000001,1.367
1.224,1.2370000000000001,1.254,1.24,1.222,1.242,1.3900000000000001
1.224,1.244,1.2669999999999999,1.2570000000000001,1.2469999999999999,1.2749999999999999,1.4259999999999999
1.224,1.244,1.264,1.25,1.2349999999999999,1.2650000000000001,1.415
1.224,1.2429999999999999,1.26,1.24,1.2250000000000001,1.2469999999999999,1.3919999999999999
1.2250000000000001,1.2410000000000001,1.27,1.2570000000000001,1.248,1.2749999999999999,1.4350000000000001
1.2250000000000001,1.2410000000000001,1.268,1.2450000000000001,1.2370000000000001,1.262,1.4219999999999999
1.222,1.236,1.258,1.23,1.212,1.24,1.3919999999999999
1.224,1.2389999999999999,1.2650000000000001,1.242,1.2250000000000001,1.25,1.4
1.224,1.2389999999999999,1.2650000000000001,1.24,1.2210000000000001,1.2469999999999999,1.3980000000000001
1.224,1.2389999999999999,1.2650000000000001,1.2370000000000001,1.2170000000000001,1.242,1.3919999999999999
1.2250000000000001,1.24,1.2749999999999999,1.25,1.232,1.26,1.4319999999999999
1.224,1.24,1.2730000000000001,1.2450000000000001,1.226,1.25,1.415
1.226,1.242,1.2749999999999999,1.2469999999999999,1.2270000000000001,1.252,1.425
1.228,1.2469999999999999,1.28,1.25,1.2310000000000001,1.2570000000000001,1.4370000000000001
1.228,1.2469999999999999,1.28,1.2469999999999999,1.2270000000000001,1.252,1.425
1.232,1.252,1.2810000000000001,1.2549999999999999,1.23,1.26,1.425
1.2330000000000001,1.256,1.286,1.26,1.232,1.2589999999999999,1.415
1.2330000000000001,1.258,1.2869999999999999,1.2650000000000001,1.24,1.27,1.415
1.246,1.274,1.3,1.292,1.2730000000000001,1.3049999999999999,1.4470000000000001
1.2490000000000001,1.2770000000000001,1.3049999999999999,1.302,1.292,1.33,1.4650000000000001
1.2549999999999999,1.2829999999999999,1.3149999999999999,1.325,1.3149999999999999,1.357,1.4830000000000001
