bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
2.56,2.59,2.64,2.74,2.7800000000000002,2.9,3.12
2.56,2.59,2.64,2.75,2.7800000000000002,2.93,3.13
2.57,2.6,2.66,2.77,2.81,2.96,3.16
2.5300000000000002,2.5499999999999998,2.61,2.73,2.77,2.92,3.13
2.5300000000000002,2.56,2.62,2.76,2.79,2.95,3.15
2.54,2.57,2.63,2.7800000000000002,2.8,3,3.2
2.56,2.59,2.67,2.84,2.88,3.08,3.31
2.52,2.5499999999999998,2.61,2.7800000000000002,2.82,3.03,3.25
2.5,2.52,2.57,2.7199999999999998,2.76,2.96,3.19
2.5300000000000002,2.56,2.61,2.7800000000000002,2.81,3.02,3.27
2.5,2.54,2.58,2.73,2.77,2.98,3.21
2.54,2.57,2.62,2.77,2.81,3.02,3.24
2.59,2.63,2.7,2.89,2.94,3.16,3.41
2.63,2.67,2.75,2.96,3.04,3.32,3.58
2.65,2.71,2.8,3.02,3.12,3.43,3.68
2.6,2.66,2.73,2.92,3.02,3.32,3.58
2.6,2.65,2.71,2.9,2.9699999999999998,3.25,3.5
2.61,2.65,2.71,2.9,2.9699999999999998,3.21,3.44
2.58,2.61,2.67,2.85,2.88,3.14,3.4
