bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
2.63,2.63,2.63,2.63,2.63,2.74,2.94
2.62,2.62,2.62,2.62,2.63,2.73,2.93
2.63,2.63,2.63,2.64,2.64,2.75,2.96
2.64,2.64,2.64,2.66,2.66,2.77,2.99
2.64,2.64,2.64,2.66,2.66,2.77,2.99
2.64,2.64,2.64,2.66,2.66,2.7800000000000002,3
2.6,2.6,2.6,2.61,2.61,2.7199999999999998,2.95
2.6,2.6,2.6,2.61,2.61,2.7199999999999998,2.96
2.6,2.6,2.6,2.61,2.62,2.7199999999999998,2.95
2.6,2.6,2.6,2.61,2.61,2.71,2.93
2.59,2.59,2.59,2.59,2.59,2.68,2.9
2.59,2.59,2.59,2.59,2.6,2.68,2.88
2.59,2.59,2.59,2.6,2.6,2.68,2.9
2.59,2.59,2.59,2.6,2.59,2.67,2.89
2.58,2.58,2.58,2.59,2.58,2.66,2.87
2.59,2.59,2.59,2.6,2.58,2.66,2.88
2.59,2.59,2.59,2.6,2.58,2.66,2.88
2.59,2.59,2.59,2.6,2.58,2.65,2.86
2.5,2.5,2.5,2.48,2.4500000000000002,2.5099999999999998,2.73
2.54,2.5499999999999998,2.5499999999999998,2.54,2.52,2.58,2.8
