bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
2.5579999999999998,2.6,2.67,2.83,2.91,3.3050000000000002,3.68
2.5579999999999998,2.6,2.67,2.8330000000000002,2.93,3.3250000000000002,3.7
2.5380000000000003,2.58,2.6280000000000001,2.7629999999999999,2.86,3.254,3.645
2.5329999999999999,2.5750000000000002,2.6230000000000002,2.76,2.8639999999999999,3.2549999999999999,3.65
2.528,2.56,2.613,2.75,2.855,3.24,3.645
2.528,2.5649999999999999,2.62,2.79,2.895,3.2789999999999999,3.6739999999999999
2.5350000000000001,2.5779999999999998,2.63,2.81,2.91,3.2800000000000002,3.6520000000000001
2.5449999999999999,2.5880000000000001,2.6349999999999998,2.7949999999999999,2.89,3.24,3.6269999999999998
2.548,2.585,2.64,2.81,2.9050000000000002,3.26,3.645
2.548,2.585,2.645,2.8050000000000002,2.9050000000000002,3.27,3.665
2.548,2.5949999999999998,2.645,2.79,2.89,3.25,3.645
2.5499999999999998,2.5979999999999999,2.65,2.798,2.8970000000000002,3.2549999999999999,3.65
2.5579999999999998,2.605,2.6579999999999999,2.8079999999999998,2.9050000000000002,3.26,3.65
2.5579999999999998,2.605,2.6579999999999999,2.8149999999999999,2.91,3.27,3.665
2.56,2.6080000000000001,2.66,2.8250000000000002,2.92,3.282,3.68
2.56,2.6080000000000001,2.6579999999999999,2.81,2.9020000000000001,3.26,3.6550000000000002
2.5649999999999999,2.61,2.6579999999999999,2.7850000000000001,2.8650000000000002,3.2130000000000001,3.585
2.58,2.625,2.6680000000000001,2.8,2.8849999999999998,3.23,3.6070000000000002
2.5830000000000002,2.6280000000000001,2.67,2.7949999999999999,2.8719999999999999,3.22,3.6019999999999999
2.58,2.625,2.6680000000000001,2.8029999999999999,2.8849999999999998,3.2250000000000001,3.6150000000000002
