bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
3.39,3.45,3.71,3.84,3.9,4.05,4.24
3.39,3.45,3.69,3.84,3.87,4.05,4.21
3.39,3.45,3.69,3.84,3.87,4.05,4.21
3.35,3.42,3.63,3.73,3.77,3.9,4.12
3.32,3.39,3.55,3.6,3.61,3.77,4.01
3.32,3.39,3.5300000000000002,3.6,3.59,3.77,4.0599999999999996
3.32,3.39,3.5300000000000002,3.6,3.57,3.77,4.08
3.29,3.34,3.43,3.44,3.45,3.65,3.94
3.29,3.34,3.44,3.48,3.52,3.7,3.92
3.29,3.34,3.43,3.46,3.49,3.68,3.9
3.29,3.35,3.44,3.4699999999999998,3.5,3.69,3.92
3.29,3.35,3.46,3.5,3.54,3.7199999999999998,3.94
3.29,3.35,3.4699999999999998,3.52,3.56,3.7199999999999998,3.93
3.2800000000000002,3.34,3.45,3.4699999999999998,3.49,3.65,3.84
3.2800000000000002,3.34,3.46,3.4699999999999998,3.49,3.64,3.86
3.2800000000000002,3.34,3.46,3.49,3.52,3.66,3.89
3.27,3.33,3.44,3.46,3.46,3.6,3.84
3.27,3.33,3.44,3.46,3.46,3.6,3.84
3.27,3.33,3.45,3.4699999999999998,3.48,3.63,3.87
3.27,3.33,3.4699999999999998,3.5,3.51,3.66,3.88
3.27,3.33,3.46,3.4699999999999998,3.48,3.61,3.84
3.27,3.33,3.46,3.4699999999999998,3.49,3.62,3.86
