bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
1.3009999999999999,1.4319999999999999,1.542,1.6019999999999999,1.6240000000000001,1.78,2.0470000000000002
1.284,1.405,1.512,1.597,1.627,1.79,2.0710000000000002
1.272,1.3860000000000001,1.4929999999999999,1.589,1.627,1.802,2.0939999999999999
1.2629999999999999,1.3679999999999999,1.4729999999999999,1.56,1.6,1.77,2.0569999999999999
1.2669999999999999,1.371,1.49,1.5960000000000001,1.6400000000000001,1.8109999999999999,2.1019999999999999
1.2709999999999999,1.377,1.4969999999999999,1.6120000000000001,1.663,1.85,2.137
1.2669999999999999,1.369,1.49,1.5899999999999999,1.6419999999999999,1.827,2.1040000000000001
1.266,1.369,1.4910000000000001,1.595,1.657,1.837,2.13
1.26,1.359,1.4809999999999999,1.5669999999999999,1.617,1.782,2.0569999999999999
1.2610000000000001,1.359,1.482,1.5699999999999998,1.6219999999999999,1.792,2.085
1.2610000000000001,1.359,1.48,1.5819999999999999,1.635,1.8169999999999999,2.12
1.258,1.3540000000000001,1.4729999999999999,1.5819999999999999,1.63,1.8069999999999999,2.105
1.258,1.3540000000000001,1.472,1.597,1.6459999999999999,1.83,2.1219999999999999
1.2629999999999999,1.3620000000000001,1.4790000000000001,1.6120000000000001,1.67,1.87,2.165
1.2629999999999999,1.3620000000000001,1.472,1.6,1.6520000000000001,1.835,2.12
1.268,1.3639999999999999,1.472,1.595,1.645,1.837,2.1269999999999998
1.2749999999999999,1.369,1.4729999999999999,1.587,1.627,1.8069999999999999,2.1019999999999999
1.29,1.3839999999999999,1.4910000000000001,1.605,1.647,1.8220000000000001,2.13
1.2949999999999999,1.389,1.5009999999999999,1.647,1.6970000000000001,1.88,2.1869999999999998
1.29,1.383,1.4929999999999999,1.6320000000000001,1.6720000000000002,1.85,2.1549999999999998
