bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
1.375,1.347,1.282,1.32,1.3089999999999999,1.345,1.4119999999999999
1.3380000000000001,1.3049999999999999,1.244,1.26,1.246,1.2770000000000001,1.34
1.304,1.27,1.202,1.1850000000000001,1.169,1.1850000000000001,1.2469999999999999
1.3009999999999999,1.27,1.202,1.18,1.165,1.1859999999999999,1.2549999999999999
1.296,1.26,1.19,1.1619999999999999,1.147,1.177,1.2469999999999999
1.296,1.26,1.1850000000000001,1.177,1.167,1.2070000000000001,1.272
1.294,1.2570000000000001,1.1830000000000001,1.19,1.175,1.2150000000000001,1.28
1.2909999999999999,1.2530000000000001,1.1759999999999999,1.1950000000000001,1.1819999999999999,1.22,1.282
1.2829999999999999,1.244,1.161,1.1619999999999999,1.1419999999999999,1.17,1.22
1.2810000000000001,1.2410000000000001,1.1579999999999999,1.165,1.1419999999999999,1.177,1.2250000000000001
1.276,1.2310000000000001,1.125,1.115,1.0920000000000001,1.1219999999999999,1.17
1.266,1.22,1.1160000000000001,1.1120000000000001,1.0900000000000001,1.1299999999999999,1.1830000000000001
1.2629999999999999,1.2170000000000001,1.1120000000000001,1.125,1.1000000000000001,1.145,1.2
1.2589999999999999,1.214,1.111,1.19,1.167,1.22,1.28
1.252,1.2070000000000001,1.101,1.1499999999999999,1.125,1.18,1.23
1.254,1.2090000000000001,1.103,1.18,1.155,1.2030000000000001,1.252
1.2469999999999999,1.2,1.093,1.1519999999999999,1.1200000000000001,1.145,1.19
1.2490000000000001,1.206,1.1179999999999999,1.204,1.177,1.21,1.25
1.2450000000000001,1.2,1.125,1.2,1.175,1.21,1.2410000000000001
1.2450000000000001,1.2,1.1339999999999999,1.19,1.1599999999999999,1.2090000000000001,1.246
1.2450000000000001,1.2010000000000001,1.143,1.22,1.1950000000000001,1.252,1.2949999999999999
