bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
1.738,1.74,1.7389999999999999,1.7450000000000001,1.732,1.7669999999999999,1.8900000000000001
1.738,1.7389999999999999,1.738,1.7450000000000001,1.7349999999999999,1.7770000000000001,1.9020000000000001
1.7349999999999999,1.736,1.732,1.732,1.72,1.762,1.885
1.73,1.7309999999999999,1.724,1.73,1.7170000000000001,1.76,1.88
1.724,1.724,1.7149999999999999,1.718,1.7050000000000001,1.742,1.857
1.7189999999999999,1.7189999999999999,1.71,1.73,1.72,1.7650000000000001,1.875
1.716,1.716,1.706,1.728,1.72,1.7669999999999999,1.877
1.708,1.708,1.696,1.7170000000000001,1.7069999999999999,1.7570000000000001,1.867
1.702,1.702,1.69,1.7130000000000001,1.7050000000000001,1.75,1.8599999999999999
1.69,1.69,1.6800000000000002,1.6840000000000002,1.67,1.71,1.821
1.6890000000000001,1.6890000000000001,1.679,1.6840000000000002,1.6680000000000001,1.7050000000000001,1.825
1.6890000000000001,1.6890000000000001,1.679,1.6850000000000001,1.677,1.7250000000000001,1.847
1.6830000000000001,1.681,1.67,1.675,1.663,1.71,1.835
1.6779999999999999,1.6760000000000002,1.667,1.669,1.661,1.7069999999999999,1.825
1.6680000000000001,1.6659999999999999,1.651,1.65,1.6419999999999999,1.6800000000000002,1.8
1.667,1.665,1.65,1.649,1.6419999999999999,1.6800000000000002,1.7949999999999999
1.6600000000000001,1.6579999999999999,1.645,1.649,1.647,1.6819999999999999,1.7949999999999999
1.6600000000000001,1.6579999999999999,1.645,1.6459999999999999,1.647,1.675,1.7869999999999999
1.651,1.649,1.635,1.6240000000000001,1.615,1.635,1.7349999999999999
1.651,1.649,1.635,1.631,1.63,1.65,1.7410000000000001
1.619,1.617,1.591,1.577,1.5699999999999998,1.5899999999999999,1.669
