bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
2.73,2.74,2.75,2.76,2.76,2.9,3.12
2.73,2.73,2.74,2.76,2.76,2.9,3.11
2.71,2.7199999999999998,2.7199999999999998,2.74,2.75,2.88,3.08
2.69,2.7,2.7,2.71,2.7199999999999998,2.85,3.07
2.69,2.7,2.7,2.71,2.7199999999999998,2.85,3.06
2.69,2.69,2.7,2.71,2.7199999999999998,2.84,3.06
2.68,2.68,2.69,2.7,2.71,2.83,3.04
2.69,2.7,2.7,2.71,2.73,2.86,3.08
2.69,2.69,2.7,2.71,2.73,2.86,3.09
2.68,2.68,2.69,2.7,2.7199999999999998,2.84,3.08
2.67,2.67,2.68,2.69,2.71,2.83,3.06
2.65,2.65,2.66,2.67,2.69,2.8,3.03
2.66,2.67,2.68,2.69,2.71,2.82,3.04
2.64,2.65,2.66,2.67,2.68,2.79,3.02
2.65,2.66,2.67,2.68,2.69,2.8,3.02
2.65,2.66,2.67,2.68,2.68,2.8,3.02
2.63,2.64,2.64,2.65,2.65,2.76,2.98
2.62,2.62,2.62,2.62,2.63,2.73,2.93
2.63,2.63,2.63,2.63,2.63,2.74,2.94
