bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
3.38,3.42,3.45,3.46,3.48,3.58,3.85
3.39,3.42,3.46,3.48,3.51,3.61,3.88
3.39,3.42,3.46,3.4699999999999998,3.5,3.61,3.88
3.39,3.42,3.46,3.4699999999999998,3.5,3.63,3.9
3.39,3.41,3.44,3.45,3.48,3.6,3.87
3.39,3.42,3.45,3.46,3.49,3.61,3.87
3.39,3.42,3.44,3.45,3.4699999999999998,3.59,3.85
3.39,3.42,3.44,3.45,3.48,3.59,3.85
3.41,3.43,3.46,3.48,3.52,3.62,3.89
3.44,3.46,3.5,3.5300000000000002,3.57,3.68,3.95
3.45,3.4699999999999998,3.51,3.55,3.59,3.7,3.9699999999999998
3.46,3.48,3.5300000000000002,3.57,3.62,3.76,4.01
3.45,3.4699999999999998,3.52,3.56,3.6,3.76,4.01
3.46,3.48,3.54,3.59,3.63,3.8,4.05
3.46,3.48,3.54,3.59,3.63,3.82,4.07
3.46,3.48,3.55,3.6,3.64,3.82,4.07
3.46,3.48,3.54,3.59,3.62,3.7800000000000002,4.04
3.46,3.48,3.54,3.6,3.63,3.7800000000000002,4.04
3.45,3.46,3.51,3.57,3.59,3.74,4
3.44,3.45,3.49,3.55,3.57,3.7199999999999998,3.99
3.43,3.44,3.4699999999999998,3.5300000000000002,3.55,3.7,3.96
