bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
2.82,2.82,2.82,2.83,2.83,2.9699999999999998,3.14
2.7800000000000002,2.7800000000000002,2.79,2.79,2.79,2.92,3.1
2.77,2.77,2.77,2.77,2.77,2.87,3.03
2.77,2.77,2.7800000000000002,2.7800000000000002,2.7800000000000002,2.87,3.03
2.77,2.77,2.77,2.7800000000000002,2.7800000000000002,2.87,3.03
2.76,2.76,2.76,2.77,2.76,2.86,3.01
2.8,2.8,2.81,2.82,2.82,2.93,3.06
2.7800000000000002,2.7800000000000002,2.79,2.8,2.79,2.9,3.04
2.8,2.8,2.82,2.83,2.82,2.93,3.06
2.84,2.85,2.86,2.87,2.87,2.98,3.11
2.9,2.91,2.93,2.94,2.95,3.06,3.21
2.89,2.89,2.91,2.92,2.93,3.04,3.19
2.92,2.92,2.93,2.95,2.95,3.07,3.21
2.89,2.89,2.9,2.9,2.9,3.02,3.16
2.9,2.9,2.9,2.9,2.9,3.02,3.16
2.87,2.88,2.88,2.88,2.88,2.98,3.12
2.85,2.85,2.85,2.84,2.83,2.93,3.08
2.85,2.85,2.84,2.82,2.81,2.91,3.06
2.86,2.86,2.85,2.82,2.81,2.91,3.06
2.84,2.84,2.83,2.8,2.79,2.88,3.03
2.84,2.84,2.82,2.79,2.7800000000000002,2.87,3.03
2.84,2.83,2.81,2.7800000000000002,2.76,2.86,3.02
