abond3m,abond6m,abond1y,abond2y,abond3y,abond5y,abond10y,bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
0.02,0.05,0.081,0.488,0.929,1.625,2.343,2.3,2.32,2.349,2.436,2.513,2.736,3.033
0.02,0.03,0.096,0.567,1.038,1.757,2.489,2.18,2.19,2.205,2.237,2.292,2.495,2.852
0.01,0.05,0.091,0.491,0.921,1.61,2.335,2.03,2.05,2.082,2.102,2.145,2.295,2.655
0.01,0.07,0.117,0.469,0.848,1.481,2.164,2.02,2.02,2.027,2.035,2.077,2.23,2.59
0.04,0.12,0.213,0.665,1.07,1.653,2.171,2.07,2.07,2.072,2.092,2.096,2.285,2.605
0,0.05,0.137,0.449,0.736,1.155,1.641,1.98,1.98,1.97,1.969,1.969,2.047,2.24
0.01,0.07,0.188,0.618,0.997,1.499,1.993,2,2,2.003,2.023,2.035,2.107,2.355
0.02,0.13,0.229,0.555,0.879,1.37,1.923,1.72,1.72,1.707,1.706,1.717,1.802,2.157
0,0.04,0.224,0.567,0.9,1.425,2.032,1.72,1.73,1.752,1.795,1.85,2.05,2.424
0,0.06,0.244,0.605,0.925,1.485,2.121,1.69,1.69,1.692,1.72,1.745,1.915,2.305
0.01,0.11,0.265,0.643,1.004,1.648,2.353,1.57,1.58,1.618,1.717,1.795,2.07,2.452
0.06,0.14,0.311,0.661,0.972,1.529,2.18,1.51,1.52,1.574,1.683,1.77,2.032,2.425
0,0.23,0.377,0.738,1.051,1.548,2.218,1.53,1.54,1.59,1.665,1.735,1.927,2.295
-0.02,0.07,0.311,0.629,0.901,1.357,2.037,1.5,1.51,1.517,1.542,1.565,1.722,2.065
0.07,0.22,0.321,0.724,1.023,1.519,2.142,1.51,1.53,1.564,1.627,1.652,1.795,2.112
0.17,0.39,0.48,0.93,1.22,1.645,2.206,1.65,1.67,1.707,1.768,1.785,1.962,2.247
0.16,0.47,0.597,1.048,1.307,1.76,2.269,1.55,1.58,1.629,1.648,1.66,1.82,2.085
0.31,0.42,0.449,0.774,0.966,1.328,1.921,1.5,1.52,1.546,1.56,1.565,1.7,1.98
0.32,0.47,0.597,0.774,0.892,1.212,1.735,1.46,1.46,1.462,1.456,1.455,1.555,1.787
0.2,0.38,0.58,0.721,0.852,1.205,1.769,1.5,1.5,1.482,1.472,1.446,1.552,1.795
0.21,0.38,0.55,0.782,0.934,1.294,1.833,1.49,1.49,1.477,1.465,1.452,1.55,1.795
0.28,0.45,0.673,0.877,1.031,1.372,1.846,1.49,1.49,1.508,1.51,1.495,1.582,1.81
0.26,0.35,0.432,0.582,0.693,1,1.47,1.27,1.29,1.293,1.275,1.247,1.297,1.465
0.25,0.37,0.488,0.655,0.747,1.024,1.453,1.22,1.24,1.257,1.242,1.215,1.235,1.382
0.33,0.46,0.591,0.805,0.922,1.198,1.58,1.26,1.28,1.315,1.325,1.315,1.357,1.483
0.27,0.43,0.585,0.762,0.875,1.149,1.594,1.26,1.31,1.343,1.298,1.25,1.27,1.424
0.3,0.49,0.642,0.841,0.989,1.307,1.826,1.32,1.38,1.417,1.465,1.43,1.497,1.68
0.48,0.61,0.775,1.113,1.393,1.842,2.381,1.53,1.58,1.647,1.71,1.722,1.911,2.15
